Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
52,Maluma,Sobrio,2021-08-28,58,52,6,https://charts-static.billboard.com/img/2021/07/maluma-xt7-sobrio-q5u-180x180.jpg
53,Polo G,Rapstar,2021-08-28,49,3,19,https://charts-static.billboard.com/img/2021/04/polo-g-n1o-rapstar-qed-180x180.jpg
54,Tiesto,The Business,2021-08-28,54,12,41,https://charts-static.billboard.com/img/2020/10/tiesto-e64-the-business-6nk-180x180.jpg
55,Post Malone,Motley Crew,2021-08-28,50,13,6,https://charts-static.billboard.com/img/2021/07/post-malone-8b5-motleycrew-y51-180x180.jpg
56,Silk Sonic (Bruno Mars & Anderson .Paak),Skate,2021-08-28,41,18,3,https://charts-static.billboard.com/img/2021/08/silk-sonic-bruno-mars-and-anderson-paak-qd5-skate-v1h-180x180.jpg
57,Imagine Dragons,Believer,2021-08-28,73,57,50,https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg
58,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,2021-08-28,53,24,24,https://charts-static.billboard.com/img/2021/03/maroon-5-kks-beautiful-mistakes-eyo-180x180.jpg
59,Olivia Rodrigo,Happier,2021-08-28,52,14,13,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
60,Ed Sheeran,Shape Of You,2021-08-28,59,59,50,https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg
61,Dua Lipa,Don't Start Now,2021-08-28,57,30,50,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
62,"Tiago pzk, LIT killa, Nicki Nicole & Maria Becerra",Entre Nosotros,2021-08-28,55,55,5,https://charts-static.billboard.com/img/2021/07/tiago-pzk-000-entre-nosotros-sjy-180x180.jpg
63,Dua Lipa,Love Again,2021-08-28,66,63,11,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
64,Lewis Capaldi,Someone You Loved,2021-08-28,60,24,50,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg
65,Doja Cat,Get Into It (Yuh),2021-08-28,108,65,3,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
66,Marc Segui & Pol Granch & Rauw Alejandro,Tiroteo,2021-08-28,63,63,7,https://charts-static.billboard.com/img/2018/09/rauwalejandro-37g-180x180.jpg
67,Olivia Rodrigo,"Jealousy, Jealousy",2021-08-28,62,19,13,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
68,TINI X Maria Becerra,Mienteme,2021-08-28,71,65,16,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
69,Travis Scott & HVME,Goosebumps,2021-08-28,70,15,34,https://charts-static.billboard.com/img/2020/12/travis-scott-z9o-goosebumps-7u2-180x180.jpg
70,Sebastian Yatra X Myke Towers,Pareja del Ano,2021-08-28,61,16,18,https://charts-static.billboard.com/img/2021/05/sebastian-yatra-q66-pareja-del-ano-sly-180x180.jpg
71,Megan Thee Stallion,THOT SHIT,2021-08-28,67,27,10,https://charts-static.billboard.com/img/2021/06/megan-thee-stallion-dkc-thot-shit-zsq-180x180.jpg
72,Pinkfong,Baby Shark,2021-08-28,68,38,49,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
73,Olivia Rodrigo,Favorite Crime,2021-08-28,56,14,13,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
74,Giveon,Heartbreak Anniversary,2021-08-28,72,10,27,https://charts-static.billboard.com/img/2021/02/giveon-k6h-heartbreak-anniversary-4n9-180x180.jpg
75,Ingratax,Paris,2021-08-28,142,75,4,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
76,Tiesto & Karol G,Don't Be Shy,2021-08-28,-,76,1,https://charts-static.billboard.com/img/2021/08/tiesto-e64-dont-be-shy-8hc-180x180.jpg
77,Drake Featuring Lil Baby,Wants And Needs,2021-08-28,69,2,24,https://charts-static.billboard.com/img/2021/03/drake-04g-wantsandneeds-sfa-180x180.jpg
78,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2021-08-28,76,47,50,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
79,"Galantis, David Guetta & Little Mix",Heartbreak Anthem,2021-08-28,64,52,13,https://charts-static.billboard.com/img/2021/05/galantis-ems-heartbreak-anthem-5fm-180x180.jpg
80,Rauw Alejandro,Curame,2021-08-28,145,80,2,https://charts-static.billboard.com/img/2018/09/rauwalejandro-37g-180x180.jpg
81,Justin Wellington Featuring Small Jam,Iko Iko (My Bestie),2021-08-28,75,68,11,https://charts-static.billboard.com/img/2021/04/justin-wellington-000-iko-iko-my-bestie-02a-180x180.jpg
82,Sefo,Bilmem Mi?,2021-08-28,-,82,1,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
83,SAINt JHN,Roses,2021-08-28,78,14,50,https://charts-static.billboard.com/img/2020/03/saint-jhn-y2f-roses-h0w-180x180.jpg
84,J Balvin x Karol G x Nicky Jam Featuring Crissin x Totoy El Frio x Natan & Shander,Poblado (Remix),2021-08-28,79,47,9,https://charts-static.billboard.com/img/2021/06/j-balvin-i5b-poblado-remix-ovf-180x180.jpg
85,Post Malone,Circles,2021-08-28,80,49,50,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
86,J Balvin & Skrillex,In Da Getto,2021-08-28,106,86,7,https://charts-static.billboard.com/img/2021/07/j-balvin-i5b-in-da-getto-ssj-180x180.jpg
87,Nelly & Florida Georgia Line,Lil Bit,2021-08-28,77,76,16,https://charts-static.billboard.com/img/2020/11/nelly-yua-lil-bit-mdq-180x180.jpg
88,"Sahdev Dirdo, Badshah, Aastha Gill & Rico",Bachpan Ka Pyaar,2021-08-28,-,88,1,https://charts-static.billboard.com/img/2016/08/badshah-7qq-180x180.jpg
89,Becky Hill & David Guetta,Remember,2021-08-28,166,89,4,https://charts-static.billboard.com/img/2021/07/becky-hill-a0n-remember-1q3-180x180.jpg
90,The Neighbourhood,Sweater Weather,2021-08-28,88,62,47,https://charts-static.billboard.com/img/2013/03/the-neighbourhood-ro9-180x180.jpg
91,Joao Gomes,Meu Pedaco de Pecado,2021-08-28,82,74,7,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
92,Tai Verdes,A-O-K,2021-08-28,111,92,4,https://charts-static.billboard.com/img/2020/11/taiverdes-oo5-180x180.jpg
93,Billie Eilish,Bad Guy,2021-08-28,86,54,50,https://charts-static.billboard.com/img/2019/04/billie-eilish-lrt-bad-guy-vul-180x180.jpg
94,OneRepublic,Run,2021-08-28,84,67,15,https://charts-static.billboard.com/img/2007/04/onerepublic-m2z-180x180.jpg
95,Duncan Laurence,Arcade,2021-08-28,85,36,29,https://charts-static.billboard.com/img/2021/02/duncan-laurence-030-arcade-ggy-180x180.jpg
96,Red Velvet,Queendom,2021-08-28,-,96,1,https://charts-static.billboard.com/img/2014/08/red-velvet-ais-180x180.jpg
97,Fleetwood Mac,Dreams,2021-08-28,89,10,47,https://charts-static.billboard.com/img/2011/05/fleetwood-mac-fe3-dreams-jvb-180x180.jpg
98,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,2021-08-28,90,27,16,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
99,Machine Gun Kelly,Papercuts,2021-08-28,-,99,1,https://charts-static.billboard.com/img/2021/08/machine-gun-kelly-ubc-papercuts-v84-180x180.jpg
100,Ariana Grande,Positions,2021-08-28,83,1,43,https://charts-static.billboard.com/img/2020/11/ariana-grande-da0-positions-7tu-180x180.jpg
101,"Justin Quiles, Chimbala X Zion & Lennox",Loco,2021-08-28,93,93,6,https://charts-static.billboard.com/img/2021/06/justin-quiles-hyk-loco-qzq-180x180.jpg
102,Lady Gaga & Bradley Cooper,Shallow,2021-08-28,94,59,50,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
103,Sub Urban & Bella Poarch,Inferno,2021-08-28,-,103,1,https://charts-static.billboard.com/img/2021/08/suburban-000-inferno-7tr-180x180.jpg
