Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
1,Mariah Carey,All I Want For Christmas Is You,2022-12-24,1,1,26,https://charts-static.billboard.com/img/2004/12/mariah-carey-tgq-180x180.jpg
2,Brenda Lee,Rockin' Around The Christmas Tree,2022-12-24,4,2,19,https://charts-static.billboard.com/img/2005/12/brenda-lee-fbd-rockin-around-the-christmas-tree-k4k-180x180.jpg
3,Wham!,Last Christmas,2022-12-24,2,2,22,https://charts-static.billboard.com/img/1978/05/wham-usx-106x106.jpg
4,Bobby Helms,Jingle Bell Rock,2022-12-24,6,4,19,https://charts-static.billboard.com/img/2006/12/bobby-helms-xys-jingle-bell-rock-f0t-180x180.jpg
5,SZA,Kill Bill,2022-12-24,-,5,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
6,Sam Smith & Kim Petras,Unholy,2022-12-24,5,1,12,https://charts-static.billboard.com/img/2022/10/sam-smith-jw8-unholy-dry-180x180.jpg
7,"Metro Boomin, The Weeknd & 21 Savage",Creepin',2022-12-24,3,3,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
8,Ariana Grande,Santa Tell Me,2022-12-24,9,5,19,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-9mb-180x180.jpg
9,Andy Williams,It's The Most Wonderful Time Of The Year,2022-12-24,14,7,18,https://charts-static.billboard.com/img/2005/12/andy-williams-lz2-its-the-most-wonderful-time-of-the-year-iho-180x180.jpg
10,Michael Buble,It's Beginning To Look A Lot Like Christmas,2022-12-24,10,6,19,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
11,Taylor Swift,Anti-Hero,2022-12-24,7,1,8,https://charts-static.billboard.com/img/2022/11/taylor-swift-824-antihero-5fz-180x180.jpg
12,SZA,Nobody Gets Me,2022-12-24,-,12,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
13,Jose Feliciano,Feliz Navidad,2022-12-24,17,9,17,https://charts-static.billboard.com/img/1968/07/jose-feliciano-b5h-180x180.jpg
14,Kelly Clarkson,Underneath The Tree,2022-12-24,15,8,18,https://charts-static.billboard.com/img/2002/09/kelly-clarkson-w89-180x180.jpg
15,Burl Ives,A Holly Jolly Christmas,2022-12-24,18,13,17,https://charts-static.billboard.com/img/2004/12/burl-ives-tv0-180x180.jpg
16,Rema & Selena Gomez,Calm Down,2022-12-24,16,5,24,https://charts-static.billboard.com/img/2022/04/rema-000-calmdown-55o-180x180.jpg
17,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2022-12-24,22,11,17,https://charts-static.billboard.com/img/2005/12/dean-martin-mm0-180x180.jpg
18,David Guetta & Bebe Rexha,I'm Good (Blue),2022-12-24,13,2,16,https://charts-static.billboard.com/img/2022/09/david-guetta-ruw-imgoodblue-rkt-180x180.jpg
19,SZA,Blind,2022-12-24,-,19,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
20,Harry Styles,As It Was,2022-12-24,11,1,37,https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-frn-180x180.jpg
21,Drake & 21 Savage,Rich Flex,2022-12-24,12,1,6,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
22,The Ronettes,Sleigh Ride,2022-12-24,28,13,16,https://charts-static.billboard.com/img/2011/12/the-ronettes-k1e-sleigh-ride-1yb-180x180.jpg
23,Meghan Trainor,Made You Look,2022-12-24,20,6,8,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
24,SZA,Low,2022-12-24,-,24,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
25,SZA,Shirt,2022-12-24,108,18,7,https://charts-static.billboard.com/img/2022/11/sza-mhq-shirt-q8c-180x180.jpg
26,SZA,Love Language,2022-12-24,-,26,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
27,SZA,Seek & Destroy,2022-12-24,-,27,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
28,RAYE Featuring 070 Shake,Escapism,2022-12-24,36,28,3,https://charts-static.billboard.com/img/2015/09/raye-pn7-180x180.jpg
29,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains),2022-12-24,8,8,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
30,Manuel Turizo,La Bachata,2022-12-24,24,6,23,https://charts-static.billboard.com/img/2022/06/manuel-turizo-eml-la-bachata-1l6-180x180.jpg
31,Sia,Snowman,2022-12-24,39,25,21,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
32,Arcangel & Bad Bunny,La Jumpa,2022-12-24,19,19,2,https://charts-static.billboard.com/img/2022/12/arcangel-pqf-lajumpa-vaz-180x180.jpg
33,Nat King Cole,The Christmas Song (Merry Christmas To You),2022-12-24,40,16,16,https://charts-static.billboard.com/img/2008/12/nat-king-cole-wkp-180x180.jpg
34,SZA Featuring Don Toliver,Used,2022-12-24,-,34,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
35,Chris Brown,Under The Influence,2022-12-24,25,3,21,https://charts-static.billboard.com/img/2019/10/chris-brown-94g-undertheinfluence-eql-180x180.jpg
36,SZA,Snooze,2022-12-24,-,36,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
37,SZA,SOS,2022-12-24,-,37,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
38,Bing Crosby,White Christmas,2022-12-24,43,24,16,https://charts-static.billboard.com/img/2006/12/bing-crosby-q6i-180x180.jpg
39,Tom Odell,Another Love,2022-12-24,31,14,85,https://charts-static.billboard.com/img/2013/01/tom-odell-qwt-180x180.jpg
40,Bad Bunny & Chencho Corleone,Me Porto Bonito,2022-12-24,26,2,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
41,Bad Bunny,Titi Me Pregunto,2022-12-24,27,4,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
42,Darlene Love,Christmas (Baby Please Come Home),2022-12-24,48,27,16,https://charts-static.billboard.com/img/2012/12/darlene-love-pok-180x180.jpg
43,Justin Bieber,Mistletoe,2022-12-24,45,19,17,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
44,Oliver Tree & Robin Schulz,Miss You,2022-12-24,32,11,10,https://charts-static.billboard.com/img/2022/10/oliver-tree-8zt-missyou-xhc-180x180.jpg
45,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look Like Christmas,2022-12-24,41,27,15,https://charts-static.billboard.com/img/1958/08/perry-como-v1s-180x180.jpg
46,Band Aid,Do They Know It's Christmas?,2022-12-24,51,20,15,https://charts-static.billboard.com/img/2013/12/band-aid-000-do-they-know-its-christmas-oj7-180x180.jpg
47,OneRepublic,I Ain't Worried,2022-12-24,34,5,28,https://charts-static.billboard.com/img/2022/06/onerepublic-m2z-i-aint-worried-6ds-180x180.jpg
48,Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52",2022-12-24,33,1,23,https://charts-static.billboard.com/img/2022/07/bizarrap-rsm-bzrp-music-sessions-vol-52-6r7-180x180.jpg
49,SZA,Special,2022-12-24,-,49,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
50,Stephen Sanchez,Until I Found You,2022-12-24,53,44,31,https://charts-static.billboard.com/img/2022/05/stephensanchez-s9k-untilifoundyou-n64-180x180.jpg
51,Paul McCartney,Wonderful Christmastime,2022-12-24,57,18,16,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg
52,SZA Featuring Phoebe Bridgers,Ghost In The Machine,2022-12-24,-,52,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
53,Michael Buble,Holly Jolly Christmas,2022-12-24,61,29,14,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
54,Lady Gaga,Bloody Mary,2022-12-24,54,54,2,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
55,Steve Lacy,Bad Habit,2022-12-24,38,8,23,https://charts-static.billboard.com/img/2022/07/steve-lacy-d2o-badhabit-9nj-180x180.jpg
56,Ed Sheeran & Elton John,Merry Christmas,2022-12-24,60,15,7,https://charts-static.billboard.com/img/2021/12/ed-sheeran-w3r-merry-christmas-kfq-180x180.jpg
57,Nat King Cole,Deck The Halls,2022-12-24,78,57,12,https://charts-static.billboard.com/img/1958/08/nat-king-cole-wkp-180x180.jpg
58,Frank Sinatra,Jingle Bells,2022-12-24,66,42,14,https://charts-static.billboard.com/img/2010/12/frank-sinatra-ytu-180x180.jpg
59,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over),2022-12-24,67,26,13,https://charts-static.billboard.com/img/1969/02/john-lennon-0fr-180x180.jpg
60,The Weeknd & Ariana Grande,Save Your Tears,2022-12-24,44,1,102,https://charts-static.billboard.com/img/2020/12/the-weeknd-xmx-save-your-tears-e5b-180x180.jpg
61,SZA,Gone Girl,2022-12-24,-,61,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
62,SZA,Notice Me,2022-12-24,-,62,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
63,JVKE,Golden Hour,2022-12-24,65,25,16,https://charts-static.billboard.com/img/2022/09/jvke-4lr-goldenhour-qcn-180x180.jpg
64,Ozuna Featuring Feid,Hey Mor,2022-12-24,50,27,9,https://charts-static.billboard.com/img/2016/04/ozuna-gin-180x180.jpg
65,Elvis Presley,Blue Christmas,2022-12-24,79,36,13,https://charts-static.billboard.com/img/2007/12/elvis-presley-nq7-180x180.jpg
66,The Weeknd,Die For You,2022-12-24,49,36,41,https://charts-static.billboard.com/img/2016/12/the-weeknd-xmx-dieforyou-yho-180x180.jpg
67,SZA Featuring Travis Scott,Open Arms,2022-12-24,-,67,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
68,Beyonce,Cuff It,2022-12-24,52,12,20,https://charts-static.billboard.com/img/2002/06/beyonce-0na-180x180.jpg
69,SZA,F2F,2022-12-24,-,69,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
70,Bad Bunny & Bomba Estereo,Ojitos Lindos,2022-12-24,63,4,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
71,SZA,Smoking On My Ex Pack,2022-12-24,-,71,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
72,Glass Animals,Heat Waves,2022-12-24,55,1,102,https://charts-static.billboard.com/img/2020/07/glass-animals-rtd-heat-waves-1lv-180x180.jpg
73,Jung Kook,Dreamers (Music From The FIFA World Cup Qatar 2022),2022-12-24,37,9,4,https://charts-static.billboard.com/img/2022/12/jungkook-000-dreamersmusicfromthefifaworldcupqatar2022-mau-180x180.jpg
74,Rosalia,Despecha,2022-12-24,62,6,20,https://charts-static.billboard.com/img/2022/08/rosalia-88x-despecha-hsd-180x180.jpg
75,Official HIGE DANdism,Subtitle,2022-12-24,71,29,9,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
76,Bad Bunny,Efecto,2022-12-24,64,7,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
77,SZA,Good Days,2022-12-24,-,7,30,https://charts-static.billboard.com/img/2021/01/sza-mhq-good-days-yue-180x180.jpg
78,Chuck Berry,Run Rudolph Run,2022-12-24,107,22,14,https://charts-static.billboard.com/img/2014/01/chuck-berry-qde-180x180.jpg
79,Kenshi Yonezu,Kick Back,2022-12-24,68,13,10,https://charts-static.billboard.com/img/2022/10/kenshi-yonezu-aoz-kickback-867-180x180.jpg
80,Shakin' Stevens,Merry Christmas Everyone,2022-12-24,76,40,13,https://charts-static.billboard.com/img/1984/04/shakin-stevens-os2-180x180.jpg
81,Eminem,Mockingbird,2022-12-24,73,44,9,https://charts-static.billboard.com/img/2011/01/eminem-6zg-mockingbird-e6r-180x180.jpg
82,Rihanna,Lift Me Up,2022-12-24,58,3,7,https://charts-static.billboard.com/img/2022/11/rihanna-k0p-liftmeup-76v-180x180.jpg
83,SZA,Conceited,2022-12-24,-,83,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
84,Jackson 5,Santa Claus Is Comin' To Town,2022-12-24,88,44,13,https://charts-static.billboard.com/img/2018/12/the-jacksons-34u-180x180.jpg
85,Metro Boomin Featuring Don Toliver & Future,Too Many Nights,2022-12-24,23,23,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
86,The Beach Boys,Little Saint Nick,2022-12-24,104,53,13,https://charts-static.billboard.com/img/2010/12/the-beach-boys-nds-180x180.jpg
87,"Metro Boomin, Travis Scott & 21 Savage",Niagara Falls (Foot Or 2),2022-12-24,21,21,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
88,Rosa Linn,Snap,2022-12-24,70,18,23,https://charts-static.billboard.com/img/2022/07/rosalinn-rc0-snap-c77-180x180.jpg
89,Lil Uzi Vert,Just Wanna Rock,2022-12-24,72,30,9,https://charts-static.billboard.com/img/2022/10/lil-uzi-vert-g7z-justwannarock-cn5-180x180.jpg
90,Zach Bryan,Something In The Orange,2022-12-24,75,23,33,https://charts-static.billboard.com/img/2022/05/zach-bryan-cfd-something-in-the-orange-8ma-180x180.jpg
91,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby,2022-12-24,91,53,13,https://charts-static.billboard.com/img/2006/12/eartha-kitt-000-santa-baby-f1p-180x180.jpg
92,The Neighbourhood,Sweater Weather,2022-12-24,74,25,116,https://charts-static.billboard.com/img/2013/03/the-neighbourhood-ro9-180x180.jpg
93,SZA,I Hate U,2022-12-24,-,11,18,https://charts-static.billboard.com/img/2021/12/sza-mhq-i-hate-u-e84-180x180.jpg
94,Chris Rea,Driving Home For Christmas,2022-12-24,87,27,13,https://charts-static.billboard.com/img/1978/07/chris-rea-v5e-106x106.jpg
95,SZA,Too Late,2022-12-24,-,95,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
96,The Weeknd,Blinding Lights,2022-12-24,80,2,119,https://charts-static.billboard.com/img/2019/12/the-weeknd-xmx-blinding-lights-q48-180x180.jpg
97,SZA,Far,2022-12-24,-,97,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
98,The Kid LAROI & Justin Bieber,Stay,2022-12-24,81,1,75,https://charts-static.billboard.com/img/2021/07/the-kid-laroi-qev-stay-vsd-180x180.jpg
99,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022-12-24,82,3,70,https://charts-static.billboard.com/img/2021/08/elton-john-m6x-cold-heart-pnau-remix-8pz-180x180.jpg
100,LE SSERAFIM,Antifragile,2022-12-24,85,38,9,https://charts-static.billboard.com/img/2022/05/lesserafim-71a-180x180.jpg
101,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),2022-12-24,128,78,10,https://charts-static.billboard.com/img/1976/09/gene-autry-hnp-180x180.jpg
102,Bad Bunny,Moscow Mule,2022-12-24,84,2,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
103,Eagles,Please Come Home For Christmas,2022-12-24,148,63,12,https://charts-static.billboard.com/img/2005/12/eagles-520-106x106.jpg
104,Imagine Dragons,Bones,2022-12-24,89,32,40,https://charts-static.billboard.com/img/2022/03/imagine-dragons-ud7-bones-8cg-180x180.jpg
105,Dua Lipa,Levitating,2022-12-24,92,2,115,https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-levitating-tr9-180x180.jpg
106,Bad Bunny,Neverita,2022-12-24,94,16,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
107,d4vd,Romantic Homicide,2022-12-24,100,35,15,https://charts-static.billboard.com/img/2022/08/d4vd-7p1-180x180.jpg
108,Ed Sheeran,Shivers,2022-12-24,90,3,66,https://charts-static.billboard.com/img/2021/09/ed-sheeran-w3r-shivers-9kr-180x180.jpg
109,Pentatonix,Hallelujah,2022-12-24,156,55,13,https://charts-static.billboard.com/img/2011/12/pentatonix-nky-180x180.jpg
110,Grupo Frontera,No Se Va,2022-12-24,101,31,12,https://charts-static.billboard.com/img/2022/09/grupofrontera-cdi-noseva-92t-180x180.jpg
111,d4vd,Here With Me,2022-12-24,110,105,5,https://charts-static.billboard.com/img/2022/08/d4vd-7p1-180x180.jpg
112,Michael Buble,Have Yourself A Merry Little Christmas,2022-12-24,126,52,13,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
113,Joji,Glimpse Of Us,2022-12-24,93,2,27,https://charts-static.billboard.com/img/2022/06/joji-77h-glimpse-of-us-xra-180x180.jpg
114,Frank Sinatra With The B. Swanson Quartet,"Let It Snow, Let It Snow, Let It Snow",2022-12-24,133,41,12,https://charts-static.billboard.com/img/1958/10/frank-sinatra-ytu-180x180.jpg
115,Metro Boomin & Travis Scott,Raindrops (Insane),2022-12-24,30,30,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
116,"Rauw Alejandro, Lyanno & Brray",Lokera,2022-12-24,112,55,18,https://charts-static.billboard.com/img/2022/08/rauwalejandro-37g-lokera-3xf-180x180.jpg
117,Ed Sheeran,Perfect,2022-12-24,109,30,119,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
118,Taylor Swift,Lavender Haze,2022-12-24,86,2,8,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
119,The Weeknd Featuring Daft Punk,Starboy,2022-12-24,106,52,76,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
120,Jonas Brothers,Like It's Christmas,2022-12-24,140,57,11,https://charts-static.billboard.com/img/2019/11/jonas-brothers-r3d-like-its-christmas-4sq-180x180.jpg
121,"Metro Boomin, 21 Savage & Young Nudy",Umbrella,2022-12-24,29,29,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
122,Feid,Feliz Cumpleanos Ferxxo,2022-12-24,105,61,15,https://charts-static.billboard.com/img/2016/10/feid-ug7-180x180.jpg
123,Gene Autry,Rudolph The Red-Nosed Reindeer,2022-12-24,114,54,13,https://charts-static.billboard.com/img/2010/11/gene-autry-o4a-180x180.jpg
124,Karol G,Provenza,2022-12-24,103,6,34,https://charts-static.billboard.com/img/2022/04/karol-g-tb3-provenza-wah-180x180.jpg
125,Donny Hathaway,This Christmas,2022-12-24,183,62,11,https://charts-static.billboard.com/img/2013/12/donny-hathaway-a6m-thischristmas-sax-180x180.jpg
126,Vince Guaraldi Trio,Christmastime Is Here,2022-12-24,155,82,10,https://charts-static.billboard.com/img/2003/09/vince-guaraldi-ktm-180x180.jpg
127,Shakira + Ozuna,Monotonia,2022-12-24,96,18,8,https://charts-static.billboard.com/img/2022/10/shakiraozuna-000-monotonia-g79-180x180.jpg
128,Arctic Monkeys,I Wanna Be Yours,2022-12-24,116,73,15,https://charts-static.billboard.com/img/2005/11/arctic-monkeys-4ey-180x180.jpg
129,Katy Perry,Cozy Little Christmas,2022-12-24,171,79,10,https://charts-static.billboard.com/img/2008/05/katy-perry-04d-180x180.jpg
130,Gwen Stefani Featuring Blake Shelton,You Make It Feel Like Christmas,2022-12-24,146,61,10,https://charts-static.billboard.com/img/2000/11/gwen-stefani-72d-180x180.jpg
131,Ed Sheeran,Bad Habits,2022-12-24,113,1,77,https://charts-static.billboard.com/img/2021/07/ed-sheeran-w3r-bad-habits-i7l-180x180.jpg
132,Lizzo,Someday At Christmas,2022-12-24,170,132,2,https://charts-static.billboard.com/img/2013/11/lizzo-w3u-180x180.jpg
133,Drake Featuring 21 Savage,Jimmy Cooks,2022-12-24,99,3,26,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
134,Taylor Swift,Midnight Rain,2022-12-24,102,5,8,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
135,Pinkfong,Baby Shark,2022-12-24,119,38,118,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
136,Mert Demir & Mabel Matiz,Antidepresan,2022-12-24,164,136,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
137,Kelly Clarkson & Ariana Grande,"Santa, Can't You Hear Me",2022-12-24,142,133,4,https://charts-static.billboard.com/img/2021/12/kelly-clarkson-w89-santacantyouhearme-0yb-180x180.jpg
138,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",2022-12-24,181,88,10,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
139,Metro Boomin & John Legend,On Time,2022-12-24,46,46,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
140,BLACKPINK,Shut Down,2022-12-24,117,1,13,https://charts-static.billboard.com/img/2016/08/blackpink-l5z-180x180.jpg
141,Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem),2022-12-24,123,21,12,https://charts-static.billboard.com/img/2022/10/lil-nas-x-qv4-starwalkinleagueoflegendsworldsanthem-s28-180x180.jpg
142,Imagine Dragons X JID,Enemy,2022-12-24,122,3,59,https://charts-static.billboard.com/img/2021/11/imagine-dragons-ud7-enemy-hcl-180x180.jpg
143,Rauw Alejandro & Baby Rasta,Punto 40,2022-12-24,115,72,10,https://charts-static.billboard.com/img/2022/10/rauwalejandro-37g-punto40-7il-180x180.jpg
144,Future Featuring Drake & Tems,Wait For U,2022-12-24,121,2,33,https://charts-static.billboard.com/img/1988/03/future-f8b-180x180.jpg
145,Dean Lewis,How Do I Say Goodbye,2022-12-24,151,89,11,https://charts-static.billboard.com/img/2022/10/dean-lewis-j7t-howdoisaygoodbye-omz-180x180.jpg
146,Elton John,Step Into Christmas,2022-12-24,168,55,11,https://charts-static.billboard.com/img/2017/12/elton-john-m6x-step-into-christmas-kuh-180x180.jpg
147,Utada Hikaru,First Love,2022-12-24,-,147,1,https://charts-static.billboard.com/img/2022/12/hikaru-utada-8lj-firstlove-x1a-180x180.jpg
148,Quavo & Takeoff,Hotel Lobby (Unc And Phew),2022-12-24,118,77,12,https://charts-static.billboard.com/img/2022/06/quavo-bdb-hotellobbyuncandphew-5ok-180x180.jpg
149,Sia,Unstoppable,2022-12-24,138,83,44,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
150,Taylor Swift,Bejeweled,2022-12-24,111,8,8,https://charts-static.billboard.com/img/2022/11/taylor-swift-824-bejeweled-x51-180x180.jpg
151,Post Malone Featuring Doja Cat,I Like You (A Happier Song),2022-12-24,124,7,28,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
152,Bellakath,Gatita,2022-12-24,-,152,1,https://charts-static.billboard.com/img/2022/11/bellakath-000-gatita-02k-180x180.jpg
153,Shakira Featuring Freshlyground,Waka Waka (This Time For Africa),2022-12-24,141,87,4,https://charts-static.billboard.com/img/2010/05/shakira-snl-waka-waka-this-time-for-africa-wwz-180x180.jpg
154,Nicky Youre & dazy,Sunroof,2022-12-24,134,26,30,https://charts-static.billboard.com/img/2022/04/nicky-youre-alv-sunroof-n0r-180x180.jpg
155,"Metro Boomin, Travis Scott & Young Thug",Trance,2022-12-24,42,42,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
156,NewJeans,Hype Boy,2022-12-24,147,52,19,https://charts-static.billboard.com/img/2022/08/newjeans-9dv-180x180.jpg
157,Adele,Easy On Me,2022-12-24,137,1,62,https://charts-static.billboard.com/img/2021/10/adele-000-easy-on-me-03x-180x180.jpg
158,BLACKPINK,Pink Venom,2022-12-24,129,1,17,https://charts-static.billboard.com/img/2022/09/blackpink-l5z-pinkvenom-t5p-180x180.jpg
159,Andy Williams,Happy Holiday/The Holiday Season,2022-12-24,-,56,10,https://charts-static.billboard.com/img/2012/10/andy-williams-lz2-180x180.jpg
160,Karol G & Ovy On The Drums,Cairo,2022-12-24,125,89,4,https://charts-static.billboard.com/img/2022/11/karol-g-tb3-cairo-hi7-180x180.jpg
161,Nicki Minaj,Super Freaky Girl,2022-12-24,131,5,18,https://charts-static.billboard.com/img/2022/08/nicki-minaj-721-superfreakygirl-y5e-180x180.jpg
162,Michael Buble,I'll Be Home For Christmas,2022-12-24,-,92,6,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
163,Metro Boomin Featuring Don Toliver,Around Me,2022-12-24,56,56,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
164,SZA Featuring Ol' Dirty Bastard,Forgiveless,2022-12-24,-,164,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
165,Britney Spears,My Only Wish (This Year),2022-12-24,199,112,7,https://charts-static.billboard.com/img/2010/11/britney-spears-p3t-my-only-wish-this-year-kk3-180x180.jpg
166,Lizzo,About Damn Time,2022-12-24,135,6,35,https://charts-static.billboard.com/img/2022/04/lizzo-o9x-about-damn-time-k73-180x180.jpg
167,Morgan Wallen,You Proof,2022-12-24,143,22,31,https://charts-static.billboard.com/img/2022/05/morgan-wallen-nlu-you-proof-503-180x180.jpg
168,Darlene Love,Winter Wonderland,2022-12-24,-,102,5,https://charts-static.billboard.com/img/1963/04/darlene-love-pqd-180x180.jpg
169,Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959),2022-12-24,-,55,12,https://charts-static.billboard.com/img/2011/11/perry-como-srg-180x180.jpg
170,Metro Boomin & Young Thug,Metro Spider,2022-12-24,47,47,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
171,Harry Styles,Late Night Talking,2022-12-24,132,2,30,https://charts-static.billboard.com/img/2022/06/harry-styles-6jk-latenighttalking-nw1-180x180.jpg
172,Imagine Dragons,Believer,2022-12-24,160,52,119,https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg
173,Eminem,Without Me,2022-12-24,157,39,62,https://charts-static.billboard.com/img/2013/07/eminem-1xq-180x180.jpg
174,The Pogues Featuring Kirsty MacColl,Fairytale Of New York,2022-12-24,197,49,11,https://charts-static.billboard.com/img/2008/01/the-pogues-a1o-fairytale-of-new-york-g8t-180x180.jpg
175,'N Sync,"Merry Christmas, Happy Holidays",2022-12-24,-,97,7,https://charts-static.billboard.com/img/1840/12/n-sync-yuh-180x180.jpg
176,Ruth B.,Dandelions,2022-12-24,152,51,48,https://charts-static.billboard.com/img/2015/12/ruth-b-6pm-106x106.jpg
177,Lewis Capaldi,Someone You Loved,2022-12-24,161,24,119,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg
178,Kate Bush,Running Up That Hill (A Deal With God),2022-12-24,139,1,29,https://charts-static.billboard.com/img/2022/06/kate-bush-qv2-running-up-that-hill-a-deal-with-god-cfi-180x180.jpg
179,Aerosmith,Dream On,2022-12-24,166,110,6,https://charts-static.billboard.com/img/2010/06/aerosmith-x0d-dreamon-ynk-180x180.jpg
180,Coolio Featuring L.V.,Gangsta's Paradise,2022-12-24,173,21,74,https://charts-static.billboard.com/img/2010/11/coolio-i15-gangstasparadise-nqq-180x180.jpg
181,Frank Sinatra,Have Yourself A Merry Little Christmas,2022-12-24,193,167,5,https://charts-static.billboard.com/img/1958/10/frank-sinatra-ytu-180x180.jpg
182,Dean Martin,"Baby, It's Cold Outside",2022-12-24,179,84,10,https://charts-static.billboard.com/img/2008/12/dean-martin-mm0-180x180.jpg
183,Taylor Swift Featuring Lana Del Rey,Snow On The Beach,2022-12-24,127,3,8,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
